Title,URL,Predicted_Topics,Confidence_Scores
Wet Signature vs. Electronic Signature: Key Differences and When to Use Each - RunSensible,https://www.runsensible.com/blog/wet-signature-vs-electronic-signature/,"Document Automation & E-Signature, Client Intake, Document Management, Workflow and Email Automation, Client Relationship Management (CRM), Invoicing, Online Payments, Legal Case Management, Time & Expense Tracking, Task Management, Business Law, Calendaring, Legal Accounting, Civil Litigation, Cloud Phone System, Estate Planning Law, Personal Injury Law, Trust Accounting, Immigration Law, RunSensible Drive, Bankruptcy Law, Real Estate Law","0.96, 0.87, 0.64, 0.20, 0.16, 0.15, 0.14, 0.12, 0.11, 0.10, 0.09, 0.09, 0.07, 0.07, 0.06, 0.06, 0.06, 0.05, 0.04, 0.04, 0.03, 0.02"
What Is the Model Law Firm Hierarchy and Structure? - RunSensible,https://www.runsensible.com/blog/model-law-firm-hierarchy-structure/,"Document Automation & E-Signature, Client Intake, Client Relationship Management (CRM), Legal Case Management, Document Management, Legal Accounting, Business Law, Civil Litigation, Workflow and Email Automation, Personal Injury Law, Invoicing, Estate Planning Law, Time & Expense Tracking, Real Estate Law, Bankruptcy Law, Online Payments, Immigration Law, Trust Accounting, Task Management, Calendaring, Cloud Phone System, RunSensible Drive","0.86, 0.78, 0.60, 0.43, 0.38, 0.33, 0.33, 0.22, 0.17, 0.15, 0.14, 0.11, 0.11, 0.09, 0.09, 0.08, 0.06, 0.06, 0.06, 0.05, 0.03, 0.02"
Ensuring Fairness and Justice: The Role of Judicial Codes of Conduct in Legal Practice - RunSensible,https://www.runsensible.com/blog/fairness-justice-role-judicial-codes-of-conduct-legal-practice/,"Client Intake, Client Relationship Management (CRM), Civil Litigation, Document Management, Document Automation & E-Signature, Workflow and Email Automation, Online Payments, Invoicing, Legal Case Management, Calendaring, Cloud Phone System, Legal Accounting, Time & Expense Tracking, Task Management, Personal Injury Law, Immigration Law, RunSensible Drive, Trust Accounting, Estate Planning Law, Business Law, Bankruptcy Law, Real Estate Law, RunSensible Drive, Calendaring, Task Management, Legal Case Management, Civil Litigation, Client Intake, Cloud Phone System, Document Management, Document Automation & E-Signature, Client Relationship Management (CRM), Invoicing, Time & Expense Tracking, Workflow and Email Automation, Trust Accounting, Personal Injury Law, Bankruptcy Law, Business Law, Online Payments, Real Estate Law, Estate Planning Law, Legal Accounting, Immigration Law","0.49, 0.17, 0.09, 0.09, 0.08, 0.07, 0.06, 0.06, 0.05, 0.04, 0.04, 0.04, 0.04, 0.03, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.47, 0.10, 0.05, 0.04, 0.04, 0.04, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01"
The Do's and Don'ts of Texting Clients: An Ethical Guide for Lawyers - RunSensible,https://www.runsensible.com/blog/texting-clients-ethical-guide-for-lawyers/,"Document Automation & E-Signature, Client Intake, Client Relationship Management (CRM), Legal Case Management, Workflow and Email Automation, Document Management, Civil Litigation, Legal Accounting, Invoicing, Business Law, Online Payments, Time & Expense Tracking, Calendaring, Personal Injury Law, Cloud Phone System, Task Management, Estate Planning Law, Trust Accounting, Immigration Law, RunSensible Drive, Real Estate Law, Bankruptcy Law","0.74, 0.71, 0.46, 0.20, 0.18, 0.17, 0.11, 0.11, 0.10, 0.07, 0.07, 0.05, 0.05, 0.04, 0.04, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.01"
5 Cost-Saving Strategies: How Legal Departments Leverage Technology - RunSensible,https://www.runsensible.com/blog/5-cost-saving-strategies-legal-technology/,"Client Intake, Document Automation & E-Signature, Client Relationship Management (CRM), Document Management, Time & Expense Tracking, Legal Case Management, Civil Litigation, Workflow and Email Automation, Invoicing, Legal Accounting, Business Law, Calendaring, Online Payments, Personal Injury Law, Task Management, Immigration Law, Estate Planning Law, Cloud Phone System, Trust Accounting, Bankruptcy Law, Real Estate Law, RunSensible Drive, RunSensible Drive, Calendaring, Task Management, Document Automation & E-Signature, Client Intake, Legal Case Management, Time & Expense Tracking, Workflow and Email Automation, Cloud Phone System, Invoicing, Civil Litigation, Document Management, Client Relationship Management (CRM), Trust Accounting, Legal Accounting, Business Law, Personal Injury Law, Bankruptcy Law, Online Payments, Immigration Law, Estate Planning Law, Real Estate Law","0.70, 0.55, 0.30, 0.26, 0.22, 0.19, 0.17, 0.16, 0.13, 0.11, 0.09, 0.06, 0.06, 0.06, 0.05, 0.05, 0.04, 0.03, 0.03, 0.03, 0.02, 0.01, 0.62, 0.06, 0.03, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01"
16 Personal Injury Lawyer Commercial Examples - RunSensible,https://www.runsensible.com/blog/personal-injury-lawyer-commercial/,"Personal Injury Law, RunSensible Drive, Business Law, Legal Case Management, Client Intake, Calendaring, Task Management, Client Relationship Management (CRM), Civil Litigation, Invoicing, Time & Expense Tracking, Real Estate Law, Document Automation & E-Signature, Document Management, Workflow and Email Automation, Cloud Phone System, Legal Accounting, Online Payments, Bankruptcy Law, Immigration Law, Trust Accounting, Estate Planning Law, Document Automation & E-Signature, Personal Injury Law, Client Intake, Client Relationship Management (CRM), Legal Case Management, Civil Litigation, Document Management, Workflow and Email Automation, Invoicing, Business Law, Legal Accounting, Calendaring, Time & Expense Tracking, Online Payments, Task Management, RunSensible Drive, Cloud Phone System, Trust Accounting, Bankruptcy Law, Estate Planning Law, Immigration Law, Real Estate Law","0.80, 0.03, 0.03, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.71, 0.69, 0.50, 0.39, 0.13, 0.12, 0.10, 0.06, 0.06, 0.05, 0.03, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00"
Becoming a SaaS Lawyer: Legal Essentials and Best Practices - RunSensible,https://www.runsensible.com/blog/saas-lawyer-legal-essentials-practices/,"Document Automation & E-Signature, Client Intake, Legal Case Management, Client Relationship Management (CRM), Document Management, Civil Litigation, Workflow and Email Automation, Legal Accounting, Online Payments, Time & Expense Tracking, Business Law, Invoicing, Calendaring, Personal Injury Law, Cloud Phone System, Task Management, Immigration Law, Estate Planning Law, Trust Accounting, RunSensible Drive, Bankruptcy Law, Real Estate Law","0.79, 0.70, 0.48, 0.40, 0.37, 0.24, 0.22, 0.19, 0.13, 0.12, 0.11, 0.10, 0.09, 0.08, 0.07, 0.06, 0.05, 0.05, 0.04, 0.03, 0.03, 0.01"
Year-End Closing Questions to Help Your Law Firm Start Next Year Strong - RunSensible,https://www.runsensible.com/blog/year-end-closing-law-firm-start-new-year/,"Client Intake, Document Automation & E-Signature, Client Relationship Management (CRM), Legal Case Management, Business Law, Document Management, Civil Litigation, Legal Accounting, Personal Injury Law, Invoicing, Workflow and Email Automation, Estate Planning Law, Real Estate Law, Calendaring, Online Payments, Bankruptcy Law, Time & Expense Tracking, Immigration Law, Trust Accounting, Task Management, Cloud Phone System, RunSensible Drive, RunSensible Drive, Calendaring, Task Management, Legal Case Management, Client Intake, Cloud Phone System, Time & Expense Tracking, Document Automation & E-Signature, Civil Litigation, Business Law, Invoicing, Document Management, Workflow and Email Automation, Online Payments, Personal Injury Law, Trust Accounting, Real Estate Law, Estate Planning Law, Bankruptcy Law, Client Relationship Management (CRM), Immigration Law, Legal Accounting","0.65, 0.53, 0.31, 0.23, 0.18, 0.17, 0.14, 0.14, 0.11, 0.08, 0.06, 0.06, 0.05, 0.05, 0.05, 0.05, 0.05, 0.04, 0.04, 0.03, 0.03, 0.01, 0.55, 0.12, 0.04, 0.04, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01"
Essential Software Lawyers and Law Firms Use - RunSensible,https://www.runsensible.com/blog/software-lawyers-law-firms-use/,"Document Automation & E-Signature, Client Intake, Client Relationship Management (CRM), Document Management, Legal Case Management, Civil Litigation, Workflow and Email Automation, Legal Accounting, Business Law, Invoicing, Time & Expense Tracking, Personal Injury Law, Online Payments, Estate Planning Law, Task Management, Immigration Law, Calendaring, Trust Accounting, Bankruptcy Law, Cloud Phone System, Real Estate Law, RunSensible Drive","0.90, 0.77, 0.52, 0.31, 0.28, 0.17, 0.15, 0.10, 0.10, 0.09, 0.09, 0.08, 0.07, 0.06, 0.05, 0.05, 0.05, 0.04, 0.04, 0.03, 0.02, 0.01"
Top 10 Myths About Solo Attorneys - RunSensible,https://www.runsensible.com/blog/top-10-myths-about-solo-attorneys/,"Client Relationship Management (CRM), Document Automation & E-Signature, Client Intake, Document Management, Legal Case Management, Civil Litigation, Invoicing, Personal Injury Law, Workflow and Email Automation, Legal Accounting, Business Law, Time & Expense Tracking, Online Payments, Immigration Law, Estate Planning Law, Calendaring, Trust Accounting, Task Management, Cloud Phone System, RunSensible Drive, Bankruptcy Law, Real Estate Law","0.96, 0.96, 0.77, 0.49, 0.20, 0.19, 0.16, 0.13, 0.13, 0.12, 0.11, 0.10, 0.08, 0.07, 0.07, 0.07, 0.06, 0.06, 0.05, 0.04, 0.04, 0.04"
